age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
82,2,132870,11,9,6,3,1,4,0,0,4356,18,38,0
54,2,140359,5,4,0,6,4,4,0,0,3900,40,38,0
41,2,264663,15,10,5,9,3,4,0,0,3900,40,38,0
34,2,216864,11,9,0,7,4,4,0,0,3770,45,38,0
38,2,150601,0,6,5,0,4,4,1,0,3770,40,38,0
74,5,88638,10,16,4,9,2,4,0,0,3683,20,38,1
68,0,422013,11,9,0,9,1,4,0,0,3683,40,38,0
45,2,172274,10,16,0,9,4,2,0,0,3004,35,38,1
38,4,164526,14,15,4,9,1,4,1,0,2824,45,38,1
52,2,129177,9,13,6,7,1,4,0,0,2824,20,38,1
32,2,136204,12,14,5,3,1,4,1,0,2824,55,38,1
46,2,45363,14,15,0,9,1,4,1,0,2824,40,38,1
45,2,172822,1,7,0,13,1,4,1,0,2824,76,38,1
57,2,317847,12,14,0,3,1,4,1,0,2824,50,38,1
34,2,203034,9,13,5,11,1,4,1,0,2824,50,38,1
37,2,188774,9,13,4,3,1,4,1,0,2824,40,38,1
29,2,77009,1,7,5,11,1,4,0,0,2754,42,38,0
61,2,29059,11,9,0,11,4,4,0,0,2754,25,38,0
51,2,153870,15,10,2,13,0,4,1,0,2603,40,38,0
21,2,34310,8,11,2,2,0,4,1,0,2603,40,38,0
33,2,228696,3,2,2,2,1,4,1,0,2603,32,25,0
49,2,122066,4,3,2,7,0,4,1,0,2603,40,11,0
37,3,107164,0,6,4,13,1,4,1,0,2559,50,38,1
38,2,175360,0,6,4,9,1,4,1,0,2559,90,38,1
23,2,44064,15,10,5,7,1,4,1,0,2559,40,38,1
59,3,107287,0,6,6,3,4,4,0,0,2559,50,38,1
52,2,198863,14,15,0,3,1,4,1,0,2559,60,38,1
51,2,123011,9,13,0,3,1,4,1,0,2559,50,38,1
60,4,205246,11,9,4,3,1,2,1,0,2559,50,38,1
63,0,39181,10,16,0,3,1,4,0,0,2559,60,38,1
53,2,149650,11,9,4,11,1,4,1,0,2559,48,38,1
51,2,197163,14,15,4,9,1,4,0,0,2559,50,38,1
37,4,137527,10,16,4,9,1,4,0,0,2559,60,38,1
54,2,161691,12,14,0,9,1,4,0,0,2559,40,38,1
44,2,326232,9,13,0,3,4,4,1,0,2547,50,38,1
43,2,115806,12,14,0,3,4,4,0,0,2547,40,38,1
51,2,115066,15,10,0,0,4,4,0,0,2547,40,38,1
43,2,289669,12,14,0,9,4,4,0,0,2547,40,38,1
48,2,121253,9,13,3,11,4,4,0,0,2472,70,38,1
71,2,110380,11,9,2,11,0,4,1,0,2467,52,38,0
73,4,233882,11,9,2,4,0,1,1,0,2457,40,39,0
40,4,335549,14,15,4,9,1,4,1,0,2444,45,38,1
50,2,237729,11,9,6,11,1,4,0,0,2444,72,38,1
51,5,68898,8,11,0,12,1,4,1,0,2444,39,38,1
42,2,107276,15,10,4,3,1,4,0,0,2444,40,38,1
39,2,141584,12,14,4,11,1,4,1,0,2444,45,38,1
32,2,207668,9,13,4,3,2,4,1,0,2444,50,38,1
53,2,313243,15,10,5,2,1,4,1,0,2444,45,38,1
40,1,147372,15,10,4,10,1,4,1,0,2444,40,38,1
38,2,237608,9,13,4,11,1,4,0,0,2444,45,38,1
33,2,194901,8,11,5,2,1,4,1,0,2444,42,38,1
43,2,155106,7,12,0,2,1,4,1,0,2444,70,38,1
50,3,121441,1,7,4,3,2,4,1,0,2444,40,38,1
44,2,162028,15,10,2,0,5,4,0,0,2415,6,38,1
51,4,160724,9,13,2,11,0,1,1,0,2415,40,2,1
41,2,132222,14,15,2,9,0,4,1,0,2415,40,38,1
37,2,329980,12,14,2,3,0,4,1,0,2415,60,38,1
55,3,124137,14,15,2,9,0,4,1,0,2415,35,11,1
39,3,329980,9,13,2,11,0,4,1,0,2415,60,38,1
42,3,187702,14,15,2,9,0,4,1,0,2415,60,38,1
49,2,199029,9,13,2,11,0,4,1,0,2415,55,38,1
47,4,145290,11,9,2,3,0,4,1,0,2415,50,38,1
41,1,297248,14,15,2,9,0,4,1,0,2415,45,38,1
55,3,227856,9,13,2,3,0,4,1,0,2415,50,38,1
39,2,179731,12,14,2,3,5,4,0,0,2415,65,38,1
42,2,154374,9,13,2,3,0,4,1,0,2415,60,38,1
46,2,326857,12,14,2,11,0,4,1,0,2415,65,38,1
40,2,160369,12,14,2,3,0,4,1,0,2415,45,38,1
32,2,396745,9,13,2,9,0,4,1,0,2415,48,38,1
41,3,151089,15,10,2,3,0,4,1,0,2415,55,38,1
60,3,336188,14,15,2,9,0,4,1,0,2415,80,38,1
31,2,279015,12,14,2,3,0,4,1,0,2415,70,35,1
58,4,43221,15,10,2,4,0,4,1,0,2415,40,38,1
37,3,30529,9,13,2,11,0,4,1,0,2415,50,38,1
44,4,201742,9,13,2,3,0,4,1,0,2415,50,38,1
55,3,298449,9,13,2,3,0,4,1,0,2415,50,38,1
44,3,191712,12,14,2,9,0,4,1,0,2415,55,38,1
39,2,198654,14,15,2,9,0,1,1,0,2415,67,18,1
46,4,102308,9,13,2,11,0,4,1,0,2415,40,38,1
39,2,348521,15,10,2,4,0,4,1,0,2415,99,38,1
62,3,56248,9,13,2,4,0,4,1,0,2415,60,38,1
31,4,252752,11,9,2,7,5,4,0,0,2415,40,38,1
46,2,192963,9,13,2,0,0,1,1,0,2415,35,29,1
46,4,198759,14,15,2,9,0,4,1,0,2415,80,38,1
39,3,143123,8,11,2,2,0,4,1,0,2415,40,38,1
39,2,237713,14,15,2,11,0,4,1,0,2415,99,38,1
59,2,81929,10,16,2,9,0,4,1,0,2415,45,38,1
50,3,167793,14,15,2,9,0,4,1,0,2415,60,38,1
46,2,456062,10,16,2,9,0,4,1,0,2415,55,38,1
53,4,105478,9,13,2,3,0,4,1,0,2415,40,38,1
50,4,42402,14,15,2,9,0,4,1,0,2415,30,38,1
41,3,114580,14,15,2,3,5,4,0,0,2415,55,38,1
36,2,346478,9,13,2,11,0,4,1,0,2415,45,38,1
38,2,187870,14,15,2,9,0,4,1,0,2415,90,38,1
54,2,35576,15,10,2,11,0,4,1,0,2415,50,38,1
